[26, 73, 74, 173, 226, 290, 418, 704, 750]
[97, 126, 206, 207, 272, 556, 612, 702, 890]
[2, 42, 135, 174, 225, 237, 282, 336, 383]
[28, 217, 281, 285, 338, 372, 486, 631, 724]
[18, 27, 102, 297, 327, 349, 380, 582, 624]
[67, 100, 164, 174, 225, 290, 404, 470, 608]
[3, 28, 349, 441, 513, 565, 582, 596, 752]
[54, 206, 284, 290, 572, 719, 798, 875, 879]
[125, 164, 195, 407, 452, 604, 612, 641, 704]
[99, 349, 372, 377, 468, 491, 528, 569, 617]
[228, 336, 441, 455, 515, 543, 600, 635, 719]
[32, 100, 195, 220, 323, 362, 407, 423, 573]
[282, 375, 380, 389, 401, 539, 597, 660, 699]
[6, 24, 28, 100, 171, 431, 526, 589, 603]
[44, 73, 198, 325, 512, 572, 600, 630, 727]
[52, 56, 58, 67, 276, 364, 470, 566, 819]
[90, 185, 285, 608, 629, 679, 705, 785, 803]
[6, 42, 53, 290, 346, 447, 495, 593, 608]
[2, 3, 210, 233, 264, 381, 569, 658, 674]
