[106, 133, 134, 157, 171, 172, 173, 206, 207, 208, 225, 389, 415, 452, 498, 632]
[52, 67, 79, 103, 396, 399, 460, 464, 470, 506, 583, 625, 724, 777, 790, 810]
[6, 35, 42, 67, 164, 168, 217, 321, 327, 659, 688, 764, 793, 810, 826, 863]
[73, 79, 164, 283, 291, 298, 351, 359, 362, 389, 395, 515, 549, 582, 684, 704]
[44, 67, 73, 164, 228, 358, 404, 463, 596, 600, 603, 608, 625, 630, 727, 787]
[82, 87, 102, 110, 123, 150, 174, 221, 287, 372, 404, 421, 432, 603, 716, 854]
[6, 67, 68, 137, 242, 277, 312, 362, 465, 537, 563, 565, 722, 744, 787, 800]
[16, 47, 132, 164, 206, 358, 381, 389, 401, 404, 408, 463, 622, 625, 742, 745]
[45, 67, 91, 149, 184, 276, 327, 362, 546, 592, 625, 701, 785, 810, 812, 836]
[12, 28, 38, 104, 269, 282, 333, 389, 515, 527, 597, 629, 701, 704, 777, 781]
[103, 164, 184, 253, 330, 332, 363, 380, 470, 520, 524, 581, 592, 602, 695, 738]
[17, 18, 36, 75, 274, 325, 346, 537, 597, 618, 634, 650, 651, 657, 748, 885]
