[4, 18, 47, 72, 75, 78, 164, 275, 619, 644, 663, 787]
[31, 67, 100, 169, 227, 287, 291, 368, 429, 567, 569, 661]
[88, 164, 185, 354, 401, 441, 582, 603, 804, 832, 841, 892]
[128, 184, 259, 332, 350, 408, 539, 608, 628, 866, 869, 872]
[67, 100, 164, 290, 404, 600, 603, 718, 724, 725, 727, 802]
[87, 100, 102, 169, 221, 287, 300, 652, 657, 664, 745, 752]
[53, 133, 225, 290, 357, 377, 378, 441, 631, 675, 704, 756]
[3, 11, 94, 145, 265, 373, 539, 596, 648, 658, 751, 867]
[54, 172, 194, 287, 358, 360, 384, 401, 438, 463, 745, 779]
[53, 132, 360, 381, 384, 438, 509, 567, 819, 825, 867, 891]
[57, 78, 100, 129, 164, 228, 390, 537, 705, 777, 787, 810]
[176, 183, 277, 314, 424, 507, 536, 576, 581, 658, 687, 788]
[17, 18, 32, 172, 207, 208, 217, 632, 657, 688, 703, 717]
[17, 18, 32, 38, 75, 206, 350, 423, 650, 651, 694, 870]
[332, 362, 556, 600, 603, 607, 608, 625, 630, 730, 742, 767]
[126, 331, 349, 452, 565, 637, 753, 757, 766, 803, 810, 845]
[3, 26, 44, 67, 124, 146, 164, 290, 346, 374, 381, 565]
[21, 60, 176, 186, 282, 422, 441, 569, 571, 629, 683, 851]
[187, 281, 338, 372, 407, 441, 486, 540, 571, 631, 703, 724]
