[134, 172, 200, 206, 207, 208, 287, 423, 482, 535]
[8, 58, 185, 215, 226, 432, 435, 488, 495, 582]
[45, 71, 146, 273, 327, 487, 488, 561, 629, 764]
[90, 99, 225, 245, 246, 251, 335, 567, 617, 679]
[61, 67, 129, 184, 205, 435, 521, 534, 553, 715]
[67, 124, 272, 273, 290, 330, 344, 611, 744, 779]
[185, 282, 325, 333, 370, 422, 660, 804, 836, 841]
[102, 197, 312, 329, 350, 398, 589, 696, 752, 840]
[3, 14, 100, 125, 164, 229, 275, 576, 704, 727]
[195, 325, 327, 346, 350, 363, 373, 381, 569, 632]
[29, 67, 290, 346, 360, 378, 626, 634, 673, 742]
[73, 146, 175, 197, 206, 282, 327, 333, 612, 630]
[47, 56, 82, 127, 187, 401, 412, 596, 745, 817]
