[16, 28, 67, 125, 191, 423, 454, 543, 657, 738, 854]
[7, 164, 172, 200, 206, 207, 208, 230, 389, 567, 570]
[28, 58, 99, 164, 172, 197, 346, 362, 411, 651, 817]
[67, 148, 225, 228, 242, 381, 539, 660, 749, 800, 866]
[170, 274, 344, 380, 405, 479, 520, 541, 580, 615, 638]
[53, 100, 185, 300, 390, 441, 571, 582, 629, 632, 704]
[19, 224, 438, 593, 605, 608, 758, 762, 810, 859, 869]
[67, 206, 290, 306, 313, 316, 317, 401, 591, 706, 835]
[67, 73, 176, 231, 419, 517, 565, 568, 599, 619, 628]
[8, 21, 38, 95, 122, 164, 282, 390, 597, 674, 779]
[231, 242, 249, 277, 297, 450, 499, 629, 634, 733, 803]
[23, 132, 164, 380, 384, 557, 606, 657, 762, 764, 891]
[3, 28, 206, 224, 343, 346, 413, 618, 651, 850, 854]
[38, 243, 428, 556, 565, 611, 674, 689, 731, 777, 810]
[26, 100, 287, 297, 430, 470, 539, 545, 660, 735, 810]
[67, 78, 164, 170, 205, 228, 330, 606, 774, 785, 810]
[72, 164, 231, 234, 413, 519, 711, 729, 773, 815, 866]
[3, 99, 228, 343, 346, 374, 392, 536, 608, 725, 766]
[6, 28, 34, 42, 80, 99, 228, 284, 327, 546, 592]
[67, 184, 269, 519, 572, 585, 671, 693, 718, 753, 866]
