[18, 67, 75, 92, 172, 346, 423, 483, 501, 618, 722, 764, 792, 832]
[16, 83, 117, 118, 133, 277, 380, 381, 389, 401, 468, 514, 597, 604]
[2, 47, 274, 285, 306, 327, 346, 370, 608, 683, 703, 704, 706, 851]
[3, 28, 122, 164, 181, 182, 197, 290, 294, 319, 377, 378, 435, 569]
[69, 273, 290, 297, 377, 378, 379, 382, 450, 504, 569, 611, 757, 821]
[26, 68, 128, 278, 369, 421, 447, 566, 597, 611, 653, 717, 718, 761]
[67, 129, 135, 191, 314, 340, 399, 420, 460, 464, 506, 565, 752, 770]
[4, 60, 74, 185, 228, 290, 441, 466, 468, 569, 570, 572, 582, 650]
[131, 134, 148, 164, 206, 290, 325, 515, 536, 538, 629, 632, 701, 702]
[37, 67, 100, 124, 150, 169, 185, 273, 290, 338, 511, 561, 724, 730]
[18, 67, 93, 168, 174, 422, 440, 446, 473, 512, 596, 771, 810, 830]
[11, 67, 90, 95, 117, 122, 124, 332, 338, 415, 565, 627, 674, 764]
[4, 36, 47, 164, 170, 174, 228, 363, 520, 556, 619, 660, 703, 888]
[58, 90, 142, 185, 226, 228, 262, 432, 488, 538, 582, 617, 644, 720]
[53, 56, 67, 130, 164, 228, 290, 465, 466, 611, 688, 704, 718, 803]
[100, 170, 196, 201, 270, 290, 312, 313, 389, 397, 412, 604, 661, 829]
[100, 102, 110, 166, 178, 194, 228, 273, 368, 438, 526, 657, 661, 777]
[28, 47, 68, 170, 217, 278, 496, 505, 539, 661, 717, 719, 724, 831]
