[16, 17, 18, 75, 206, 208, 346, 476, 543, 575, 703, 714, 722]
[67, 128, 129, 164, 166, 421, 534, 545, 636, 674, 678, 690, 838]
[129, 225, 227, 283, 363, 497, 624, 637, 722, 820, 856, 870, 882]
[67, 74, 156, 164, 185, 235, 274, 295, 377, 452, 603, 638, 707]
[197, 250, 262, 290, 533, 572, 661, 787, 796, 797, 802, 851, 855]
[6, 27, 42, 53, 67, 126, 129, 195, 394, 539, 594, 701, 868]
[17, 60, 67, 74, 274, 277, 282, 399, 591, 611, 623, 704, 861]
[67, 124, 150, 164, 174, 373, 389, 404, 617, 626, 644, 679, 705]
[4, 100, 225, 228, 277, 296, 297, 434, 570, 656, 701, 783, 821]
[53, 58, 100, 164, 285, 322, 597, 650, 651, 694, 790, 810, 845]
[42, 53, 132, 148, 172, 206, 284, 321, 327, 554, 565, 572, 606]
