[27, 78, 332, 363, 573, 813, 896]
[67, 74, 122, 148, 173, 206, 724]
[51, 326, 542, 563, 578, 695, 849]
[100, 164, 228, 290, 377, 717, 886]
[297, 336, 377, 378, 392, 569, 657]
[16, 18, 24, 75, 473, 803, 810]
[226, 278, 392, 570, 600, 625, 845]
[49, 138, 158, 575, 624, 642, 732]
[102, 259, 285, 354, 570, 585, 867]
[20, 125, 224, 608, 623, 758, 798]
[2, 3, 67, 125, 164, 233, 392]
[109, 282, 325, 422, 501, 596, 657]
[27, 105, 173, 243, 570, 677, 829]
[42, 100, 168, 169, 174, 368, 413]
[1, 53, 100, 413, 556, 612, 898]
[322, 422, 657, 660, 677, 688, 692]
[194, 399, 441, 452, 506, 742, 794]
[14, 100, 174, 373, 381, 413, 841]
[67, 164, 275, 455, 563, 661, 841]
[231, 285, 565, 594, 604, 611, 751]
[114, 197, 536, 597, 651, 667, 885]
[25, 138, 158, 167, 306, 779, 784]
[18, 75, 100, 213, 356, 400, 402]
[206, 223, 475, 537, 593, 761, 860]
