[4, 98, 172, 184, 228, 343, 383, 785]
[3, 133, 174, 346, 380, 524, 556, 580]
[2, 134, 208, 287, 404, 413, 539, 623]
[67, 173, 206, 290, 377, 378, 569, 597]
[73, 164, 197, 250, 290, 395, 572, 624]
[26, 153, 369, 375, 515, 594, 597, 718]
[164, 226, 305, 340, 399, 679, 744, 863]
[25, 89, 330, 455, 465, 467, 554, 572]
[32, 38, 47, 49, 290, 492, 539, 781]
[51, 185, 412, 563, 570, 700, 746, 849]
[67, 166, 185, 325, 662, 674, 678, 755]
[47, 72, 142, 342, 381, 517, 619, 679]
[3, 175, 422, 515, 571, 612, 703, 704]
[100, 323, 327, 366, 482, 606, 607, 810]
[67, 343, 358, 370, 373, 389, 598, 742]
[99, 134, 164, 332, 408, 607, 608, 767]
[25, 29, 67, 138, 148, 316, 455, 524]
[144, 168, 172, 360, 537, 608, 810, 857]
[4, 67, 81, 327, 546, 625, 744, 753]
[26, 53, 277, 321, 441, 571, 582, 851]
[228, 290, 377, 699, 703, 766, 783, 836]
[53, 282, 333, 389, 401, 441, 468, 667]
[95, 157, 194, 457, 562, 695, 734, 763]
[170, 180, 228, 304, 465, 500, 676, 819]
[17, 70, 468, 597, 626, 650, 651, 742]
[3, 44, 342, 346, 390, 407, 867, 868]
[3, 145, 146, 192, 193, 302, 539, 658]
