[176, 184, 202, 204, 419, 517, 529, 548, 549, 565, 568, 599, 619, 757, 850]
[45, 52, 56, 67, 137, 164, 184, 408, 462, 608, 610, 742, 744, 836, 841]
[173, 187, 201, 278, 281, 290, 303, 307, 352, 362, 377, 378, 392, 536, 569]
[100, 110, 128, 166, 173, 273, 277, 393, 495, 520, 597, 704, 744, 752, 887]
[45, 75, 118, 148, 157, 228, 290, 377, 459, 482, 569, 742, 817, 836, 867]
[3, 47, 61, 235, 363, 380, 534, 537, 597, 611, 624, 640, 650, 810, 845]
[27, 29, 44, 149, 407, 466, 649, 729, 738, 753, 813, 865, 866, 893, 894]
[10, 53, 99, 125, 285, 327, 373, 404, 423, 454, 466, 608, 658, 798, 823]
[67, 100, 124, 128, 205, 267, 450, 499, 570, 610, 661, 744, 752, 797, 802]
[3, 26, 27, 100, 164, 174, 206, 371, 569, 608, 617, 626, 634, 672, 728]
[100, 170, 177, 179, 196, 222, 226, 247, 394, 418, 506, 531, 532, 661, 750]
[52, 67, 100, 126, 148, 164, 172, 404, 477, 641, 660, 677, 766, 810, 839]
[20, 47, 56, 82, 83, 127, 187, 201, 233, 239, 269, 368, 536, 596, 817]
[71, 83, 164, 180, 273, 313, 317, 330, 344, 424, 435, 471, 534, 539, 867]
[58, 109, 125, 277, 325, 466, 514, 515, 554, 602, 606, 660, 704, 753, 841]
