[13, 67, 242, 311, 688, 720]
[67, 278, 334, 392, 570, 600]
[290, 299, 338, 377, 378, 629]
[2, 28, 90, 109, 466, 647]
[18, 419, 534, 535, 569, 618]
[44, 56, 74, 164, 233, 800]
[285, 323, 373, 404, 482, 608]
[2, 164, 197, 404, 538, 701]
[196, 374, 441, 571, 593, 625]
[87, 202, 308, 419, 653, 774]
[116, 164, 168, 330, 413, 562]
[46, 184, 233, 543, 582, 625]
[35, 276, 466, 554, 570, 688]
[164, 172, 290, 566, 660, 677]
[295, 624, 702, 703, 707, 847]
[53, 164, 211, 301, 346, 704]
[43, 626, 637, 701, 703, 706]
[100, 119, 174, 228, 327, 704]
[66, 86, 160, 267, 639, 817]
[100, 229, 271, 373, 704, 724]
[87, 102, 164, 404, 657, 756]
[44, 149, 323, 779, 813, 884]
[164, 330, 465, 587, 720, 850]
[4, 265, 381, 721, 748, 761]
[52, 207, 298, 413, 437, 603]
[109, 182, 285, 632, 781, 872]
[182, 392, 515, 536, 744, 856]
[67, 361, 460, 462, 494, 563]
[67, 197, 221, 270, 275, 797]
