944,963,998
345,378,464
279,378,417
314,350,408
119,124,215
119,124,236
253,357,464
314,317,400
254,279,496
827,912,919
881,944,949
314,450,464
17,54,236
25,46,216
124,159,236
276,460,496
314,354,379
271,345,355
279,280,464
317,490,496
816,916,998
865,963,990
865,939,963
33,115,236
17,113,236
3,98,124
38,204,236
71,121,227
204,211,236
315,448,462
251,345,462
378,417,422
279,382,464
375,432,462
503,545,564
570,735,745
49,745,878
76,493,916
795,865,963
40,119,236
46,164,228
7,46,93
188,197,227
46,192,216
113,188,227
355,387,408
317,357,479
236,251,560
510,565,650
790,831,881
793,824,881
845,944,949
883,933,963
857,884,944
769,827,974
827,860,996
7,167,204
17,71,106
53,76,227
47,215,218
49,84,224
271,378,418
271,397,462
276,314,347
279,360,441
276,289,494
319,496,498
314,361,437
254,384,464
324,417,490
272,314,431
276,362,468
315,355,479
360,875,884
496,552,560
546,564,746
653,681,729
70,400,938
753,881,975
760,900,916
769,822,872
840,912,993
857,963,975
851,853,872
769,878,919
824,891,996
804,822,916
868,944,964
916,949,969
29,46,250
22,64,70
21,46,110
164,227,420
204,236,792
159,464,746
251,310,406
251,419,496
253,407,468
260,314,449
272,280,417
254,273,483
286,345,455
289,317,400
313,324,350
257,324,357
251,325,468
367,406,494
310,322,417
367,435,455
317,367,451
272,313,462
319,418,462
345,454,477
283,574,963
633,650,703
539,666,690
539,704,731
574,710,745
353,744,963
763,824,965
764,827,914
769,793,965
783,851,963
799,824,867
770,831,867
779,872,983
851,876,916
841,916,971
762,944,971
858,872,944
923,951,963
25,151,215
37,124,231
5,46,121
1,53,227
46,64,205
69,115,121
13,71,110
22,106,110
124,157,229
61,124,245
70,154,198
124,154,157
70,106,172
188,233,236
203,227,228
74,97,216
49,224,239
69,215,248
110,224,863
25,46,932
7,188,860
301,360,362
276,302,323
310,375,475
314,356,452
314,393,426
276,315,399
251,315,500
252,306,317
279,317,351
323,325,400
268,329,496
346,402,417
350,424,464
353,357,394
327,360,378
325,360,364
375,402,489
302,357,379
276,355,383
378,384,435
404,410,417
252,313,454
281,317,473
279,448,477
281,331,483
355,468,490
254,404,493
318,391,496
463,496,497
53,70,735
274,496,684
406,638,884
564,607,649
607,672,749
618,704,746
510,666,701
578,680,686
525,709,745
755,760,916
764,781,793
769,796,919
818,834,916
825,827,875
831,875,911
894,916,927
781,900,927
852,872,916
827,913,933
816,889,938
764,990,996
17,67,198
17,76,133
17,47,248
35,199,227
17,40,162
49,64,131
101,192,215
101,106,188
106,110,157
104,110,230
46,115,145
113,124,201
93,124,126
161,167,198
70,100,167
46,182,229
70,204,222
74,204,211
82,110,224
115,183,230
105,357,381
259,279,391
259,342,349
276,494,495
284,344,404
310,325,436
317,322,414
259,284,323
306,330,464
350,367,420
267,350,394
350,355,415
256,314,363
279,356,364
354,355,365
260,367,482
260,369,406
319,369,448
371,416,496
294,333,375
343,375,468
381,406,437
259,342,392
356,408,436
314,354,412
302,408,435
281,442,489
357,396,482
315,482,499
363,475,672
319,325,955
483,675,918
121,441,938
543,546,666
569,650,747
547,570,737
570,618,713
578,589,722
578,603,722
570,593,614
570,638,665
650,653,655
562,661,729
664,675,729
606,650,679
731,744,745
38,675,826
539,749,937
