1,5,48,242
50,62,100,238
18,59,120,477
21,33,102,462
29,45,56,808
52,91,103,180
33,106,111,349
12,91,190,207
7,141,213,217
20,39,338,357
76,85,181,199
26,74,113,680
20,63,343,370
56,77,353,387
3,54,201,883
15,58,209,971
15,17,293,810
30,61,293,578
5,118,302,305
4,70,203,862
4,7,312,770
31,187,237,368
33,59,338,608
45,67,166,526
66,77,207,584
47,78,127,841
31,120,214,685
123,125,202,231
13,136,181,413
15,24,250,666
57,68,155,744
73,110,218,561
21,169,223,401
11,139,209,756
10,113,229,831
18,40,313,844
24,174,182,735
122,181,216,339
13,92,346,939
48,67,487,589
3,142,276,948
34,120,417,439
119,131,237,612
79,122,168,821
69,104,375,611
55,70,266,994
5,113,329,890
7,129,566,589
21,116,347,985
93,130,328,357
54,142,374,565
16,39,73,952
2,122,572,589
42,99,321,609
23,205,222,851
123,211,262,331
109,195,235,546
38,183,309,509
1,100,552,912
13,83,552,992
15,311,353,421
4,185,373,839
47,207,244,645
18,132,417,932
61,168,240,767
2,64,655,799
50,138,267,628
54,172,190,903
20,84,481,996
17,221,417,588
43,51,512,671
54,158,263,435
42,140,315,812
135,136,335,451
22,362,467,545
128,197,284,474
8,296,473,582
86,97,114,333
29,90,681,990
75,154,380,773
49,234,364,893
145,251,255,273
39,196,549,617
127,230,270,509
76,163,257,969
104,115,248,945
136,205,368,440
73,104,557,936
71,207,311,797
81,260,268,344
8,268,418,597
110,186,342,511
65,168,298,854
98,132,414,750
12,529,568,614
132,167,252,779
55,343,369,665
27,159,194,523
12,21,84
8,287,523,968
42,88,829,858
141,154,433,437
37,268,521,593
136,329,372,504
87,292,360,485
119,171,368,921
1,507,581,607
7,367,413,887
88,122,599,763
80,142,608,723
28,203,810,842
77,208,471,771
153,159,185,897
6,85,199,874
168,193,315,576
9,303,623,678
30,336,501,711
26,344,544,709
95,206,569,615
52,204,580,755
59,98,714,725
82,99,441,713
135,177,392,688
102,191,381,678
16,432,517,574
124,185,443,486
149,236,280,730
26,44,75
64,384,504,712
42,46,76
264,275,363,369
8,492,535,831
7,302,695,872
68,228,843,949
114,148,894,989
106,258,303,633
9,324,771,996
53,388,542,839
88,241,486,665
139,274,427,616
6,367,784,831
60,387,608,704
63,387,426,722
86,111,785,853
61,153,654,728
38,392,547,751
37,352,586,696
23,434,543,660
142,252,295,817
87,98,791,837
49,237,925,988
73,248,532,908
20,47,123
64,376,528,942
18,32,239
8,286,889,956
57,251,493,992
225,345,367,733
23,67,200
86,380,576,788
46,463,570,749
14,161,375,878
137,308,461,915
91,125,391,491
166,329,590,621
152,362,561,565
32,467,653,754
8,74,210
212,277,381,787
1,48,188
142,280,466,941
123,172,789,972
55,339,641,686
103,285,427,870
127,384,481,639
179,222,605,920
201,225,536,960
5,578,646,983
149,299,607,922
60,353,760,780
181,268,526,605
102,117,378,474
78,393,786,903
178,304,317,691
3,503,786,818
87,420,502,623
227,285,342,863
26,544,638,985
40,485,503,653
52,78,130
215,390,471,480
100,306,455,697
18,558,796,940
85,612,617,990
148,491,625,669
36,475,639,884
249,271,506,598
29,677,693,897
124,494,590,880
53,86,90
126,283,675,849
19,30,541
14,17,477
112,382,631,641
262,288,351,842
109,424,594,653
182,274,405,662
253,335,476,599
94,337,916,921
14,692,827,997
116,200,290,576
4,637,885,969
320,325,479,511
111,160,244,877
130,366,770,915
208,280,596,882
83,566,618,812
35,62,217
15,725,882,900
15,104,198
77,425,693,935
34,96,146
69,421,766,955
12,710,958,977
74,86,134
22,160,178
173,322,822,841
143,620,635,743
61,134,176
90,585,650,912
250,284,608,691
3,15,999
157,252,632,856
48,72,275
4,65,523
173,379,684,762
229,312,701,758
57,70,352
99,108,150
140,419,636,864
10,129,371
134,449,774,823
51,112,243
3,173,233
283,375,596,818
93,436,664,908
9,71,498
224,299,911,943
65,145,194
236,415,506,806
177,530,606,657
31,102,362
155,508,553,864
22,144,375
77,126,204
143,580,768,919
55,184,193
189,516,709,711
32,39,685
25,265,650,763
235,546,709,895
261,559,605,998
6,61,713
156,597,913,981
27,121,607
262,289,663,933
263,495,499,987
17,207,384
230,602,683,955
201,493,711,828
292,395,503,682
179,539,785,966
254,541,594,759
308,374,816,950
126,717,769,936
6,238,313
70,109,298
30,79,920
11,162,374
4,108,507
259,381,694,871
95,127,209
33,47,977
61,99,392
281,558,584,837
84,837,944,977
290,329,777,905
46,135,276
46,228,238
24,231,259
235,476,746,805
91,304,579,624
24,224,331
37,122,355
314,516,575,646
203,542,888,975
12,52,820
120,225,236
218,405,676,782
115,699,771,899
127,133,213
11,223,337
234,428,856,915
15,89,498
2,48,939
51,183,264
75,201,334
1,332,363
44,232,289
73,215,370
66,177,248
301,591,648,731
144,223,236
24,170,435
73,95,568
67,74,860
107,123,338
62,153,352
69,126,475
319,473,782,850
34,128,447
365,528,831,890
97,134,251
67,74,905
151,680,688,866
9,259,389
13,351,380
287,512,891,959
68,116,590
296,452,772,971
8,82,734
6,113,655
39,196,389
538,575,606,675
136,176,188
45,245,312
220,736,858,873
36,69,707
20,107,769
43,112,585
47,103,537
46,72,634
18,258,319
33,295,337
333,559,826,986
422,438,675,970
24,161,632
38,179,484
201,216,243
55,291,332
294,680,742,826
106,115,510
397,443,686,800
78,164,434
171,187,190
61,135,739
9,292,587
148,204,377
37,217,509
145,175,321
400,620,781,997
52,277,384
41,117,705
339,869,923,992
64,345,383
80,169,325
405,558,870,989
444,601,645,924
17,330,574
32,189,684
616,623,633,726
35,153,535
9,320,565
294,667,720,888
37,345,376
19,340,555
36,140,815
448,577,726,849
339,715,819,970
56,227,452
27,257,583
48,153,476
420,424,867,941
55,201,555
111,148,445
55,81,966
35,175,463
87,174,389
146,227,426
90,145,666
43,359,575
423,747,811,962
43,312,621
33,475,491
94,256,272
41,189,874
119,350,361
97,154,484
95,206,518
76,232,701
464,706,809,867
41,183,660
52,221,816
102,316,337
50,220,928
150,180,402
77,259,414
94,157,529
81,108,928
30,369,838
2,422,450
84,320,385
33,353,727
71,322,563
32,252,876
105,179,618
176,219,261
75,302,492
45,369,522
102,182,556
58,296,491
149,178,532
88,165,593
118,199,569
45,288,553
28,356,858
75,242,913
29,291,731
600,654,861,885
27,273,933
34,219,999
150,154,422
112,218,520
94,256,374
66,253,524
423,779,938,953
15,381,962
121,201,536
178,186,374
37,282,483
128,169,445
116,163,429
140,165,609
148,246,326
17,490,549
27,266,904
83,122,959
11,341,980
25,247,745
76,177,846
62,351,652
19,553,741
147,229,784
9,16
138,332,408
81,273,592
13,28
49,568,578
126,389,461
47,265,873
189,262,380
33,528,793
100,184,819
94,331,557
103,161,706
79,345,866
18,461,855
62,291,829
74,373,968
176,297,301
123,206,834
19,515,652
44,373,642
19,441,734
160,311,317
56,337,658
13,437,913
239,472,917,957
