12	1014	3063
52	1059	2632
68	1074	2625
69	1075	3183
81	1086	3210
94	1094	3228
113	1112	2741
122	1121	3282
153	1152	3323
165	1165	3085
181	1179	1740
230	1218	3347
288	1152	3323
308	1218	3347
335	1014	3063
352	1289	3471
397	1316	3048
421	1179	1740
508	1086	3210
510	1316	3048
512	1075	3183
514	1368	3346
555	1391	3478
561	1121	3282
608	1415	3319
641	1391	3478
679	1441	2008
680	1165	3085
727	1368	3346
785	1289	3471
791	1441	2008
806	1479	2098
810	1480	2530
828	1479	2098
850	1480	2530
856	1486	2604
872	1415	3319
890	1112	2741
907	1059	2632
914	1074	2625
940	1094	3228
950	1486	2604
