6	2355	1288
13	1248	2549
16	1444	1253
17	3041	1162
20	1104	1652
29	1601	1242
29	1601	1302
33	2025	2490
40	1970	1082
55	1248	2549
75	1444	1253
84	1967	3063
86	1020	2615
93	2239	2945
101	1601	1302
101	1601	1242
116	2034	1161
118	1020	2615
127	2355	1288
138	1255	2368
144	2025	2490
149	2196	3169
162	2034	1161
208	2543	1666
224	2579	2806
225	1052	2115
227	1463	1238
229	1463	1238
234	2780	2552
254	2559	2037
267	3122	2585
270	2543	1666
271	1387	1218
278	2579	2806
307	2548	3175
312	3122	2585
335	2239	2945
344	2559	2037
354	1387	1218
354	1104	1652
361	3128	2836
364	2633	2815
419	2565	2640
436	2633	2815
455	2780	2552
462	2565	2640
500	2196	3169
592	2548	3175
614	3128	2836
643	2865	2833
667	2000	2803
696	1967	3063
772	3041	1162
858	1052	2115
863	2865	2833
869	2121	2324
901	2121	2324
906	2000	2803
945	1255	2368
991	1970	1082
