[0, 33, 306, 386, 400, 598]
[0, 78, 87, 637, 692, 799]
[0, 112, 142, 288, 551, 895]
[0, 114, 580, 656, 732, 983]
[0, 207, 374, 379, 406, 732]
[1, 265, 303, 342, 559, 796]
[2, 7, 16, 50, 185, 485]
[2, 58, 102, 469, 494, 640]
[2, 78, 401, 733, 811, 991]
[2, 85, 415, 623, 632, 957]
[2, 494, 611, 731, 836, 886]
[3, 5, 178, 345, 839, 900]
[3, 171, 236, 254, 282, 470]
[3, 263, 702, 849, 922, 940]
[5, 175, 226, 508, 873, 879]
[5, 200, 566, 615, 699, 928]
[5, 499, 605, 618, 659, 831]
[6, 132, 546, 603, 668, 741]
[6, 139, 281, 607, 901, 953]
[7, 91, 397, 451, 510, 908]
[7, 229, 321, 583, 697, 848]
[7, 551, 731, 748, 895, 914]
[8, 118, 197, 545, 847, 871]
[8, 281, 314, 381, 481, 800]
[8, 329, 421, 457, 580, 706]
[9, 113, 293, 454, 857, 944]
[9, 187, 581, 595, 600, 791]
[10, 47, 117, 289, 571, 761]
[10, 89, 177, 187, 474, 503]
[10, 300, 483, 501, 697, 902]
[11, 62, 96, 289, 801, 911]
[11, 124, 472, 603, 703, 708]
[11, 438, 671, 755, 793, 864]
[12, 23, 226, 410, 498, 956]
[12, 170, 303, 335, 666, 741]
[12, 197, 200, 223, 727, 780]
[12, 264, 273, 688, 698, 759]
[13, 140, 272, 343, 433, 562]
[13, 240, 443, 493, 600, 851]
[14, 225, 292, 345, 688, 954]
[15, 91, 423, 659, 711, 766]
[15, 253, 254, 421, 919, 981]
[15, 347, 745, 780, 894, 965]
[16, 26, 80, 155, 649, 828]
[16, 77, 450, 883, 921, 996]
[16, 366, 374, 573, 857, 897]
[17, 93, 126, 200, 865, 922]
[17, 133, 236, 791, 797, 915]
[17, 240, 378, 424, 661, 728]
[18, 47, 87, 128, 292, 737]
[19, 43, 55, 359, 598, 977]
[20, 73, 626, 629, 684, 932]
[20, 81, 122, 449, 543, 896]
[20, 182, 501, 590, 769, 991]
[20, 200, 328, 399, 756, 906]
[21, 55, 243, 492, 602, 678]
[21, 104, 165, 273, 680, 768]
[21, 341, 370, 581, 592, 904]
[21, 392, 587, 739, 849, 859]
[22, 137, 517, 575, 760, 977]
[22, 227, 300, 800, 839, 842]
[22, 233, 484, 814, 830, 834]
[22, 307, 340, 348, 374, 918]
[23, 32, 84, 125, 174, 526]
[23, 124, 241, 463, 767, 939]
[23, 211, 518, 598, 806, 935]
[25, 256, 369, 474, 741, 966]
[26, 157, 323, 401, 540, 589]
[26, 809, 860, 909, 971, 996]
[28, 64, 289, 400, 705, 936]
[28, 248, 255, 346, 869, 949]
[29, 40, 440, 630, 685, 838]
[29, 53, 95, 361, 694, 983]
[29, 60, 119, 199, 369, 680]
[30, 213, 409, 411, 845, 986]
[30, 468, 487, 532, 927, 956]
[31, 51, 476, 848, 872, 976]
[31, 76, 213, 601, 745, 787]
[31, 425, 539, 638, 722, 741]
[33, 351, 663, 859, 890, 929]
[34, 132, 431, 577, 586, 641]
[34, 361, 409, 862, 966, 976]
[35, 174, 370, 422, 641, 673]
[36, 66, 191, 348, 450, 691]
[36, 105, 269, 274, 605, 697]
[36, 407, 660, 739, 767, 816]
[37, 192, 245, 261, 679, 758]
[38, 61, 83, 407, 487, 699]
[38, 140, 273, 341, 910, 960]
[39, 56, 279, 586, 607, 854]
[39, 124, 245, 677, 764, 766]
[39, 131, 533, 621, 961, 978]
[39, 156, 189, 364, 479, 861]
[39, 197, 283, 351, 614, 772]
[39, 207, 220, 233, 675, 966]
[39, 221, 274, 860, 913, 996]
[39, 382, 503, 532, 660, 850]
[40, 48, 520, 562, 666, 795]
[40, 154, 197, 354, 833, 940]
[40, 256, 320, 569, 667, 902]
[40, 275, 310, 381, 443, 874]
[41, 48, 83, 175, 566, 988]
[41, 131, 173, 270, 624, 994]
[41, 186, 298, 683, 722, 869]
[41, 366, 400, 574, 764, 771]
[42, 340, 734, 785, 948, 996]
[43, 96, 520, 547, 574, 677]
[44, 60, 162, 704, 951, 970]
[44, 68, 87, 188, 308, 708]
[44, 96, 107, 204, 463, 532]
[44, 198, 294, 603, 976, 982]
[45, 246, 455, 502, 706, 760]
[46, 211, 272, 351, 516, 905]
[47, 84, 255, 271, 454, 854]
[47, 155, 389, 413, 673, 864]
[48, 142, 475, 514, 623, 684]
[48, 338, 565, 637, 731, 885]
[49, 197, 270, 336, 699, 956]
[50, 188, 287, 381, 664, 772]
[51, 160, 453, 517, 665, 813]
[52, 138, 149, 371, 430, 825]
[52, 161, 279, 508, 811, 842]
[53, 96, 139, 269, 273, 901]
