11,33,65,172
15,60,142,188
26,53,209,241
9,23,58,870
48,78,120,256
25,62,229,362
24,68,244,318
16,34,43,935
1,100,172,262
2,27,338,491
22,80,87,615
8,61,330,499
14,55,191,635
18,53,198,802
38,150,226,413
76,170,171,221
127,137,152,228
27,93,117,712
32,135,308,439
35,79,152,877
31,71,559,608
48,75,150,344
14,167,260,303
17,96,366,472
77,133,234,399
24,99,364,601
67,130,185,397
8,105,223,770
10,66,394,679
2,96,265,632
40,62,408,458
11,51,449,903
125,133,242,617
23,183,327,603
138,151,201,275
23,132,347,855
92,128,300,371
34,155,188,577
1,90,553,556
72,178,219,606
5,65,593,647
53,164,180,418
100,101,208,481
43,56,361,745
18,52,402,992
71,110,362,453
13,60,930,988
6,75,755,824
4,175,338,888
1,121,146,429
61,198,376,503
75,140,290,713
56,161,215,639
147,195,231,581
64,147,391,724
36,96,369,839
23,312,332,514
99,154,293,315
81,135,304,509
65,128,362,847
37,110,254,974
87,148,300,542
59,280,363,498
145,228,261,418
63,104,485,766
39,181,358,797
170,237,245,536
91,168,341,404
91,93,365,926
124,222,353,513
48,237,375,805
85,127,278,744
41,154,480,610
143,155,380,564
66,169,448,530
29,191,598,990
19,132,642,792
132,193,302,533
16,301,370,913
24,245,498,771
195,231,349,365
135,273,288,307
78,158,297,858
4,88,673,950
10,223,409,726
103,106,447,503
102,139,360,756
144,171,215,803
111,114,326,843
106,232,288,842
46,190,420,737
108,169,380,892
52,357,561,609
40,216,506,971
158,215,364,538
105,117,412,701
63,146,900,929
3,12,110
68,192,398,690
151,253,279,340
115,129,494,665
15,56,59
47,176,555,631
238,239,307,509
123,302,377,448
68,222,419,642
64,277,357,697
37,255,285,957
148,262,277,451
58,284,527,602
12,32,110
172,225,238,648
133,183,311,737
99,121,398,978
2,496,598,798
167,187,275,748
192,261,280,518
113,132,855,929
173,229,393,686
75,353,434,739
5,435,537,859
26,34,488,738
170,188,287,763
70,344,489,757
195,262,337,396
2,530,576,989
64,357,622,853
9,377,800,905
190,201,511,544
7,467,480,845
95,240,550,859
84,232,596,797
105,332,450,483
113,237,469,927
38,214,806,819
24,379,796,903
197,309,343,573
11,551,623,867
47,327,438,675
184,296,321,438
53,314,717,921
103,300,610,905
