[6, 10, 18, 19, 21, 30, 36, 37, 38, 39, 64, 75, 109, 110, 112, 136, 138, 140, 142, 159, 162, 165, 167]
[20, 21, 33, 42, 56, 57, 62, 66, 68, 77, 79, 80, 110, 112, 137, 142, 144, 149, 156, 162, 163, 166, 168]
[16, 31, 36, 37, 42, 47, 50, 80, 86, 90, 104, 105, 112, 114, 115, 135, 136, 140, 142, 154, 155, 164, 169]
[6, 10, 18, 19, 21, 30, 36, 37, 42, 64, 75, 112, 136, 138, 139, 146, 152, 153, 159, 162, 165, 166, 176]
[20, 21, 26, 33, 42, 56, 57, 62, 66, 68, 77, 79, 80, 110, 112, 142, 144, 149, 162, 166, 168, 169, 178]
[16, 31, 36, 37, 42, 47, 50, 80, 86, 104, 112, 114, 115, 135, 136, 142, 152, 154, 155, 169, 173, 179, 180]
[6, 10, 18, 19, 30, 36, 64, 75, 112, 136, 138, 139, 146, 152, 153, 159, 162, 165, 166, 175, 176, 179, 184]
[16, 31, 36, 42, 47, 80, 86, 112, 114, 135, 136, 142, 152, 165, 168, 169, 173, 179, 180, 181, 183, 184, 187]
[6, 10, 18, 19, 26, 30, 36, 75, 112, 138, 139, 146, 152, 153, 159, 162, 166, 175, 176, 184, 199, 200, 201]
[6, 8, 18, 47, 57, 66, 77, 98, 110, 112, 114, 115, 134, 142, 150, 152, 153, 154, 159, 166, 169, 178, 181]
[6, 10, 18, 19, 30, 75, 112, 139, 146, 152, 153, 159, 162, 166, 175, 176, 179, 184, 199, 200, 201, 212, 213]
[47, 58, 112, 135, 136, 159, 169, 180, 187, 196, 200, 202, 206, 215, 216, 218, 224, 226, 229, 232, 234, 235, 236]
[112, 135, 136, 159, 169, 179, 180, 200, 202, 206, 216, 218, 224, 226, 229, 232, 234, 235, 250, 251, 252, 255, 257]
[30, 98, 134, 139, 147, 179, 180, 187, 188, 192, 200, 201, 203, 218, 236, 244, 249, 250, 255, 258, 265, 281, 282]
