[8, 26, 28, 50, 52, 54, 59, 60, 61, 68, 91, 92, 93, 94, 95, 96, 97]
[5, 27, 46, 47, 53, 58, 65, 73, 75, 87, 93, 94, 97, 98, 99, 101, 102]
[8, 9, 11, 22, 24, 33, 34, 40, 48, 50, 54, 66, 67, 81, 89, 93, 95]
[7, 14, 20, 24, 28, 32, 36, 37, 40, 56, 69, 73, 80, 86, 87, 90, 101]
[2, 14, 18, 33, 36, 43, 45, 48, 52, 55, 56, 59, 72, 74, 80, 86, 116]
[5, 27, 40, 46, 58, 61, 65, 73, 75, 87, 99, 101, 102, 109, 111, 113, 117]
[12, 13, 14, 15, 19, 20, 31, 32, 33, 37, 54, 57, 65, 76, 91, 99, 103]
[49, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133]
[6, 17, 20, 28, 36, 37, 40, 56, 69, 73, 80, 86, 87, 90, 98, 101, 114]
[11, 27, 31, 45, 50, 77, 98, 105, 106, 112, 115, 116, 117, 134, 143, 155, 156]
[26, 33, 35, 45, 52, 71, 86, 105, 143, 147, 149, 151, 161, 164, 172, 177, 178]
[27, 31, 39, 45, 54, 57, 77, 98, 110, 112, 117, 134, 140, 143, 155, 156, 171]
[10, 27, 31, 39, 45, 54, 57, 77, 98, 110, 112, 117, 134, 140, 155, 165, 171]
[33, 36, 45, 52, 54, 86, 135, 147, 151, 164, 172, 177, 178, 189, 190, 195, 198]
[98, 147, 162, 187, 192, 196, 201, 204, 227, 233, 238, 246, 249, 255, 257, 262, 278]
