[12, 13, 14, 15, 19, 20, 24, 31, 32, 33, 54, 65, 76, 88, 91, 99]
[13, 14, 15, 19, 20, 31, 33, 37, 54, 57, 62, 65, 76, 91, 103, 148]
[14, 33, 35, 36, 45, 52, 72, 75, 86, 116, 137, 143, 147, 148, 151, 156]
[13, 14, 15, 19, 20, 31, 33, 37, 54, 57, 62, 65, 91, 103, 148, 154]
[26, 33, 36, 45, 52, 54, 71, 86, 147, 151, 157, 161, 164, 172, 177, 190]
[16, 30, 35, 62, 77, 86, 166, 175, 187, 188, 189, 191, 194, 197, 198, 200]
[10, 27, 31, 39, 45, 54, 77, 98, 110, 112, 140, 155, 162, 171, 187, 201]
[45, 56, 135, 139, 164, 177, 190, 195, 198, 208, 229, 230, 236, 237, 239, 250]
[27, 31, 45, 58, 77, 112, 147, 171, 187, 190, 206, 212, 216, 233, 245, 252]
[56, 139, 164, 195, 198, 225, 229, 230, 236, 239, 250, 261, 263, 266, 271, 274]
[31, 112, 141, 147, 176, 187, 212, 216, 226, 233, 245, 247, 252, 266, 268, 279]
