[19, 45, 46, 52, 54, 56, 86, 106, 134, 141, 146, 147, 155, 160, 161, 162, 166, 167, 171, 173, 174, 175, 176, 182]
[20, 26, 33, 56, 57, 62, 66, 68, 77, 80, 110, 142, 162, 164, 166, 169, 177, 178, 182, 185, 186, 193, 195, 197]
[16, 36, 47, 80, 86, 112, 114, 135, 136, 142, 146, 150, 152, 169, 180, 181, 183, 184, 185, 187, 196, 198, 200, 202]
[29, 62, 65, 71, 75, 86, 105, 136, 141, 152, 153, 154, 155, 183, 184, 185, 186, 191, 196, 198, 203, 205, 212, 213]
[47, 56, 71, 80, 112, 135, 136, 144, 146, 150, 152, 155, 159, 169, 180, 184, 187, 196, 198, 200, 202, 206, 215, 216]
[6, 8, 18, 47, 66, 77, 98, 110, 112, 115, 134, 139, 150, 152, 153, 154, 159, 162, 164, 166, 169, 176, 181, 184]
[5, 27, 30, 46, 47, 56, 65, 75, 98, 134, 139, 141, 179, 180, 187, 188, 190, 191, 192, 200, 203, 207, 213, 218]
[6, 18, 30, 112, 139, 146, 153, 159, 162, 166, 175, 176, 182, 199, 200, 201, 208, 212, 213, 225, 229, 230, 231, 232]
[6, 8, 18, 47, 66, 77, 98, 110, 112, 115, 134, 153, 154, 159, 162, 164, 166, 169, 176, 182, 184, 187, 190, 199]
[162, 169, 182, 193, 195, 197, 214, 222, 225, 226, 227, 230, 233, 234, 246, 248, 251, 253, 254, 267, 270, 271, 272, 273]
[18, 30, 112, 139, 146, 153, 159, 175, 196, 200, 201, 212, 213, 219, 225, 231, 244, 245, 260, 273, 275, 276, 277, 279]
[112, 146, 159, 169, 179, 180, 200, 202, 216, 218, 224, 226, 229, 235, 243, 245, 252, 257, 265, 267, 273, 276, 278, 280]
