[23, 30, 34, 36, 38, 39, 41, 49, 61, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72]
[8, 9, 11, 26, 45, 48, 50, 51, 58, 66, 67, 95, 98, 105, 106, 115, 117, 134, 138]
[1, 5, 6, 7, 8, 9, 11, 13, 14, 15, 16, 17, 18, 103, 134, 136, 149, 150, 151]
[8, 26, 28, 39, 50, 52, 54, 59, 62, 68, 71, 91, 95, 106, 112, 114, 151, 153, 157]
[10, 11, 13, 17, 64, 65, 66, 68, 87, 100, 108, 109, 113, 114, 140, 142, 144, 148, 157]
[8, 28, 35, 39, 50, 52, 54, 59, 68, 104, 106, 112, 151, 153, 157, 164, 165, 167, 170]
[1, 10, 15, 18, 29, 31, 35, 46, 53, 98, 100, 115, 117, 143, 144, 146, 154, 156, 169]
[7, 13, 14, 15, 19, 20, 31, 33, 37, 54, 57, 62, 65, 79, 103, 143, 148, 154, 161]
[5, 39, 42, 45, 52, 66, 71, 87, 110, 135, 137, 139, 149, 153, 156, 163, 166, 168, 169]
[8, 28, 39, 50, 52, 54, 68, 106, 112, 114, 138, 151, 153, 157, 164, 167, 170, 176, 180]
[10, 11, 64, 65, 66, 68, 77, 100, 139, 140, 144, 151, 157, 162, 165, 168, 172, 178, 179]
[1, 10, 16, 18, 29, 31, 35, 46, 98, 100, 115, 117, 143, 146, 154, 156, 171, 175, 176]
[7, 14, 15, 19, 20, 31, 33, 37, 57, 62, 65, 79, 103, 109, 142, 143, 154, 161, 171]
[5, 39, 42, 45, 52, 66, 71, 110, 135, 139, 149, 153, 155, 156, 166, 168, 169, 172, 177]
[1, 10, 18, 29, 31, 35, 46, 98, 100, 115, 143, 144, 146, 154, 175, 176, 190, 199, 201]
[5, 39, 45, 52, 66, 110, 135, 139, 155, 169, 172, 174, 177, 182, 186, 188, 196, 198, 199]
[10, 11, 65, 66, 68, 106, 184, 185, 188, 192, 194, 196, 197, 199, 202, 204, 215, 216, 217]
[14, 15, 19, 20, 30, 31, 62, 65, 71, 134, 143, 154, 160, 166, 171, 177, 179, 212, 214]
[5, 39, 45, 52, 66, 110, 135, 139, 155, 169, 177, 182, 186, 188, 197, 199, 207, 215, 216]
[11, 66, 68, 106, 143, 184, 185, 188, 192, 194, 196, 199, 202, 214, 215, 216, 232, 233, 235]
[5, 45, 52, 66, 110, 135, 139, 169, 177, 186, 199, 207, 215, 216, 223, 228, 230, 233, 236]
[1, 14, 15, 30, 31, 105, 134, 143, 154, 171, 177, 179, 193, 212, 214, 222, 241, 245, 248]
[68, 106, 153, 164, 186, 197, 199, 200, 201, 202, 204, 213, 219, 246, 253, 254, 264, 269, 270]
[68, 184, 188, 196, 199, 202, 214, 215, 216, 225, 232, 233, 236, 244, 253, 257, 258, 260, 273]
[139, 169, 186, 199, 215, 216, 230, 232, 233, 236, 239, 243, 246, 253, 254, 255, 261, 271, 273]
[1, 14, 15, 31, 105, 134, 143, 154, 179, 193, 197, 212, 214, 222, 245, 246, 248, 264, 278]
