[20, 21, 33, 40, 42, 44, 51, 56, 57, 62, 66, 67, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84]
[4, 5, 17, 25, 26, 29, 39, 41, 42, 43, 45, 52, 60, 62, 66, 70, 71, 83, 87, 89, 94, 95]
[19, 43, 44, 45, 46, 47, 48, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 62, 67, 103, 106, 107]
[20, 21, 33, 40, 42, 44, 56, 57, 62, 66, 67, 76, 77, 79, 80, 82, 83, 109, 110, 111, 112, 113]
[2, 6, 8, 12, 18, 34, 37, 38, 50, 57, 70, 72, 77, 79, 82, 83, 85, 90, 91, 95, 96, 98]
[6, 10, 18, 21, 26, 30, 36, 37, 38, 39, 40, 64, 68, 75, 108, 109, 110, 111, 112, 136, 142, 143]
[10, 16, 28, 29, 42, 79, 102, 103, 105, 112, 139, 140, 142, 145, 147, 149, 150, 155, 159, 163, 164, 166]
[20, 26, 33, 42, 56, 57, 62, 66, 68, 77, 80, 110, 142, 160, 162, 166, 168, 169, 177, 178, 185, 186]
[65, 71, 86, 105, 136, 138, 139, 140, 141, 152, 153, 154, 155, 164, 174, 178, 183, 184, 191, 192, 196, 198]
[10, 11, 65, 66, 68, 100, 140, 151, 162, 172, 178, 180, 184, 185, 186, 188, 189, 192, 194, 196, 199, 202]
[29, 35, 98, 105, 112, 118, 144, 147, 150, 155, 162, 171, 175, 183, 192, 195, 196, 201, 203, 204, 206, 211]
[29, 86, 105, 136, 141, 153, 154, 184, 185, 186, 191, 196, 197, 198, 203, 205, 207, 212, 213, 221, 223, 231]
[5, 27, 30, 47, 56, 98, 134, 139, 179, 180, 187, 188, 192, 200, 201, 203, 207, 213, 218, 221, 227, 236]
[29, 98, 105, 112, 147, 162, 171, 175, 192, 195, 196, 201, 203, 204, 206, 221, 223, 225, 226, 227, 230, 234]
[1, 5, 8, 14, 15, 18, 134, 159, 171, 182, 191, 192, 193, 203, 204, 205, 219, 224, 238, 239, 240, 241]
[105, 136, 141, 153, 154, 184, 186, 190, 191, 196, 198, 205, 207, 212, 213, 221, 223, 226, 231, 234, 239, 249]
[18, 30, 112, 139, 146, 153, 159, 162, 175, 197, 200, 201, 212, 213, 225, 229, 230, 231, 232, 244, 245, 250]
[5, 27, 30, 98, 134, 139, 179, 180, 187, 188, 192, 200, 201, 203, 207, 213, 221, 236, 249, 250, 255, 258]
[5, 45, 66, 135, 139, 169, 177, 186, 199, 207, 215, 216, 225, 233, 236, 239, 240, 246, 253, 254, 255, 256]
[105, 141, 153, 154, 184, 186, 191, 196, 198, 212, 213, 221, 223, 231, 234, 238, 239, 249, 255, 263, 268, 269]
[18, 30, 112, 139, 146, 153, 159, 175, 196, 197, 200, 201, 212, 213, 225, 229, 230, 231, 244, 245, 250, 260]
[112, 159, 169, 179, 180, 200, 202, 216, 218, 224, 226, 229, 235, 243, 245, 249, 252, 257, 264, 265, 267, 273]
[27, 30, 98, 134, 139, 147, 179, 180, 187, 188, 192, 200, 201, 203, 218, 221, 236, 249, 250, 255, 258, 265]
[1, 14, 15, 18, 134, 146, 159, 182, 191, 192, 193, 203, 204, 219, 224, 238, 239, 260, 261, 267, 275, 276]
[105, 141, 153, 184, 191, 196, 198, 212, 231, 234, 238, 239, 249, 251, 255, 262, 263, 268, 269, 275, 277, 278]
