[6, 20, 28, 36, 56, 80, 86, 87, 90, 98, 104, 106, 114, 136, 169]
[16, 30, 35, 50, 62, 77, 86, 104, 152, 158, 160, 166, 170, 175, 180]
[6, 20, 28, 36, 56, 80, 86, 98, 104, 106, 114, 136, 142, 169, 180]
[30, 77, 86, 118, 175, 187, 188, 191, 194, 197, 198, 200, 205, 208, 209]
[10, 27, 31, 39, 77, 98, 110, 112, 155, 162, 171, 187, 190, 201, 216]
[30, 77, 86, 187, 188, 191, 194, 197, 198, 200, 205, 208, 219, 223, 228]
[6, 27, 31, 58, 77, 110, 112, 162, 171, 187, 206, 212, 216, 222, 233]
[30, 188, 191, 198, 200, 219, 223, 226, 227, 234, 243, 262, 265, 269, 270]
[27, 31, 58, 112, 147, 187, 212, 216, 233, 243, 245, 247, 252, 266, 268]
[56, 139, 164, 195, 198, 224, 225, 229, 236, 239, 266, 267, 271, 279, 281]
[56, 153, 169, 180, 198, 202, 214, 218, 224, 239, 251, 266, 267, 272, 278]
