[10, 11, 13, 17, 51, 62, 64, 65, 66, 73, 74, 83, 88, 90, 91, 94, 99, 100, 101, 102]
[1, 2, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 38, 54, 103, 104]
[4, 16, 22, 25, 32, 36, 37, 42, 47, 69, 76, 80, 85, 86, 87, 90, 102, 108, 114, 115]
[4, 5, 17, 25, 26, 39, 41, 42, 43, 45, 52, 54, 60, 62, 66, 71, 83, 87, 109, 110]
[20, 21, 33, 40, 42, 56, 57, 62, 66, 67, 76, 77, 79, 80, 109, 110, 111, 112, 113, 144]
[16, 25, 36, 37, 40, 42, 47, 50, 76, 80, 86, 90, 104, 108, 112, 114, 115, 135, 136, 142]
[6, 8, 9, 18, 34, 37, 38, 41, 50, 57, 67, 70, 72, 77, 79, 90, 91, 95, 98, 102]
[19, 45, 46, 47, 51, 52, 53, 54, 56, 59, 103, 106, 110, 134, 135, 137, 138, 141, 145, 146]
[20, 21, 33, 40, 42, 56, 57, 62, 66, 67, 77, 79, 80, 109, 110, 111, 112, 113, 137, 144]
[16, 36, 37, 40, 42, 47, 50, 80, 86, 90, 104, 112, 114, 135, 136, 142, 149, 150, 152, 155]
[10, 16, 18, 28, 29, 42, 62, 67, 79, 102, 103, 105, 112, 139, 140, 141, 147, 150, 152, 155]
[10, 11, 13, 64, 65, 66, 68, 77, 87, 100, 109, 114, 139, 140, 142, 144, 148, 157, 162, 168]
[1, 5, 6, 8, 11, 14, 15, 18, 103, 114, 134, 150, 153, 159, 160, 161, 171, 172, 173, 181]
[6, 8, 18, 47, 57, 66, 77, 98, 103, 109, 110, 112, 114, 115, 142, 150, 152, 153, 154, 170]
[5, 27, 30, 46, 47, 65, 75, 98, 109, 117, 134, 139, 141, 146, 166, 167, 170, 179, 187, 188]
[8, 16, 26, 39, 52, 54, 68, 106, 114, 151, 164, 167, 179, 186, 188, 193, 199, 200, 201, 202]
[14, 15, 19, 20, 28, 30, 31, 33, 57, 62, 65, 71, 140, 143, 154, 160, 166, 171, 177, 179]
[8, 26, 35, 39, 68, 106, 118, 151, 153, 164, 179, 186, 193, 199, 200, 201, 202, 204, 213, 214]
[56, 66, 68, 143, 184, 192, 196, 199, 202, 214, 215, 216, 225, 232, 233, 236, 244, 253, 257, 258]
[1, 14, 15, 18, 134, 159, 182, 191, 192, 193, 203, 204, 219, 224, 238, 239, 260, 261, 262, 263]
[1, 18, 31, 98, 143, 146, 154, 175, 176, 186, 193, 201, 218, 227, 232, 235, 248, 257, 260, 262]
[98, 147, 162, 192, 195, 196, 201, 204, 221, 227, 234, 238, 244, 249, 255, 257, 260, 262, 263, 268]
[1, 18, 31, 98, 143, 153, 175, 176, 193, 201, 218, 227, 232, 235, 243, 248, 257, 262, 263, 277]
