[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]
[1, 4, 18, 24, 29, 31, 35, 46, 53, 55, 70, 73, 74, 83, 93, 96, 98, 100]
[30, 34, 36, 38, 39, 41, 61, 64, 65, 66, 68, 69, 70, 71, 105, 107, 108, 109]
[8, 15, 26, 28, 39, 50, 52, 54, 59, 60, 61, 68, 71, 91, 95, 106, 112, 114]
[10, 11, 13, 17, 31, 51, 64, 65, 66, 74, 99, 100, 101, 108, 110, 113, 114, 116]
[1, 4, 10, 18, 29, 31, 35, 46, 53, 73, 74, 96, 98, 100, 111, 115, 116, 117]
[1, 5, 6, 7, 8, 9, 11, 13, 14, 15, 16, 17, 18, 38, 103, 134, 135, 136]
[19, 45, 46, 47, 48, 51, 52, 53, 54, 56, 58, 59, 60, 103, 106, 110, 134, 137]
[34, 38, 41, 61, 64, 65, 66, 67, 68, 70, 71, 105, 108, 136, 138, 139, 140, 141]
[8, 26, 28, 39, 50, 52, 54, 59, 60, 68, 91, 95, 106, 112, 114, 138, 145, 146]
[10, 11, 13, 17, 31, 51, 64, 65, 66, 87, 100, 108, 109, 113, 114, 140, 142, 144]
[14, 33, 35, 36, 37, 45, 48, 52, 59, 71, 72, 86, 116, 137, 143, 144, 147, 148]
[1, 10, 18, 29, 31, 35, 46, 53, 98, 100, 111, 113, 115, 116, 117, 143, 146, 148]
[5, 15, 27, 30, 46, 47, 54, 58, 65, 75, 87, 102, 109, 117, 139, 141, 145, 147]
[5, 17, 25, 39, 42, 45, 52, 54, 60, 61, 66, 71, 87, 109, 110, 135, 137, 139]
[10, 16, 18, 28, 29, 42, 48, 54, 70, 79, 102, 103, 105, 112, 139, 140, 141, 147]
[1, 10, 18, 29, 31, 35, 46, 53, 59, 98, 100, 111, 113, 115, 117, 146, 148, 154]
[5, 27, 30, 46, 47, 65, 75, 87, 102, 109, 117, 139, 140, 141, 144, 145, 146, 147]
[5, 17, 39, 42, 45, 52, 66, 71, 87, 110, 111, 135, 137, 139, 149, 151, 153, 156]
[8, 9, 11, 26, 41, 45, 50, 51, 66, 67, 95, 98, 105, 106, 115, 117, 134, 138]
[14, 33, 36, 45, 52, 71, 75, 86, 116, 137, 143, 147, 148, 149, 151, 161, 163, 164]
[8, 26, 39, 52, 54, 68, 106, 151, 157, 164, 167, 170, 180, 182, 185, 186, 188, 189]
[10, 11, 64, 65, 66, 68, 100, 140, 151, 157, 162, 168, 172, 178, 179, 180, 183, 189]
[1, 10, 18, 29, 31, 35, 46, 98, 100, 115, 117, 143, 144, 146, 154, 175, 176, 190]
[14, 15, 19, 20, 31, 33, 57, 62, 65, 71, 103, 109, 140, 143, 154, 160, 161, 171]
[5, 39, 42, 45, 52, 66, 110, 135, 139, 155, 168, 169, 172, 176, 177, 182, 186, 188]
[45, 52, 56, 71, 86, 135, 147, 151, 164, 166, 175, 177, 190, 195, 198, 203, 209, 210]
[8, 26, 68, 106, 146, 153, 164, 179, 186, 199, 200, 201, 202, 204, 205, 213, 214, 219]
[45, 52, 56, 86, 135, 147, 164, 166, 177, 190, 195, 198, 208, 223, 228, 229, 236, 237]
[1, 18, 29, 31, 98, 115, 143, 146, 154, 175, 176, 190, 193, 201, 218, 227, 232, 235]
[1, 14, 15, 20, 30, 31, 62, 105, 134, 143, 154, 160, 171, 177, 179, 212, 214, 222]
[1, 18, 31, 98, 143, 146, 154, 175, 176, 193, 201, 218, 227, 232, 235, 243, 248, 257]
[1, 14, 15, 31, 105, 134, 143, 154, 179, 193, 197, 212, 214, 222, 242, 245, 248, 264]
[106, 139, 169, 199, 215, 216, 232, 233, 236, 239, 243, 253, 254, 255, 261, 277, 280, 282]
