134,379,764
325,612,840
208,476,813
335,878,889
41,662,693
222,372,867
47,351,803
309,618,785
48,351,785
201,603,882
201,907,908
81,311,507
533,542,922
210,643,768
34,456,721
45,606,952
48,573,873
77,599,746
144,542,699
296,488,856
184,538,945
197,366,851
252,653,755
327,537,668
256,478,883
44,347,725
44,336,733
118,591,746
141,610,894
238,652,965
168,569,649
549,648,830
160,356,733
204,265,693
218,409,878
200,431,878
660,833,851
120,403,958
61,393,751
43,510,918
9,606,757
203,651,852
296,651,979
188,532,778
88,441,891
159,494,906
60,628,852
159,871,915
200,487,930
310,599,882
611,725,894
97,477,869
91,408,826
534,782,843
443,511,937
128,569,697
235,581,769
331,619,797
76,619,960
155,220,424
500,597,880
77,491,797
289,553,872
287,576,753
64,504,674
30,408,712
162,335,712
85,386,717
381,805,860
535,794,820
50,364,904
354,527,705
67,615,876
370,723,743
482,731,749
169,609,858
64,152,412
537,673,900
121,431,700
51,466,613
78,636,844
138,501,958
28,497,913
108,347,478
87,452,491
21,497,671
286,623,761
33,367,981
29,391,935
30,83,581
66,259,404
547,897,947
86,829,845
204,663,672
348,798,926
274,398,829
105,462,711
306,398,748
190,582,779
135,262,336
366,520,905
602,612,845
14,192,410
410,741,787
160,664,691
6,829,837
258,428,748
264,705,962
333,563,630
230,340,757
212,601,967
338,597,799
414,764,863
144,701,978
24,701,873
353,363,756
153,636,989
153,185,580
234,522,994
17,422,466
97,491,631
72,431,828
57,591,670
438,515,689
462,694,828
659,687,900
659,865,866
45,703,833
274,882,911
384,483,870
297,450,832
619,648,690
182,814,815
106,902,910
349,585,915
145,724,767
329,463,791
581,740,872
210,907,973
5,689,825
124,746,967
25,708,730
16,291,364
30,364,728
218,237,457
30,33,937
181,423,698
339,461,894
376,725,997
200,279,773
334,771,828
664,883,899
387,670,817
19,573,817
301,573,590
590,825,834
573,582,908
255,287,664
142,340,706
163,170,606
199,821,992
104,744,843
304,345,527
65,177,589
292,801,914
17,212,431
55,242,372
485,569,797
230,237,515
117,282,528
3,205,735
39,260,685
100,421,595
5,653,931
397,593,964
341,428,809
