[235, 249]
[672, 822]
[397, 545]
[516, 880]
[151, 153]
[632, 664]
[286, 431]
[540, 668]
[21, 221]
[197, 508]
[58, 881]
[17, 943]
[7, 400]
[261, 525]
[741, 999]
[856, 882]
[43, 563]
[47, 224]
[36, 609]
[123, 678]
[101, 473]
[161, 812]
[350, 472]
[537, 624]
[17, 630]
[76, 635]
[149, 388]
[47, 523]
[383, 400]
[13, 924]
[26, 43]
[90, 371]
[449, 940]
[43, 446]
[194, 829]
[99, 415]
[331, 344]
[815, 929]
[350, 983]
[189, 252]
[157, 514]
[22, 301]
[399, 643]
[181, 609]
[55, 112]
[465, 490]
[63, 88]
[168, 928]
[16, 212]
[243, 652]
[273, 295]
[679, 767]
[210, 395]
[327, 403]
[165, 364]
[182, 746]
[332, 810]
[181, 703]
[431, 493]
[240, 782]
[330, 946]
[131, 742]
[56, 203]
[103, 453]
[41, 85]
[440, 860]
[319, 785]
[565, 968]
[28, 36]
[554, 569]
[25, 193]
[260, 922]
[19, 942]
[209, 226]
[78, 546]
[385, 396]
[112, 832]
[50, 65]
[574, 645]
[88, 105]
[225, 774]
[207, 369]
[229, 258]
[78, 887]
[83, 253]
[511, 939]
[692, 948]
[505, 698]
[359, 465]
[135, 243]
[275, 325]
[54, 596]
[222, 591]
[19, 852]
[71, 334]
[262, 627]
[571, 963]
[188, 259]
[337, 444]
[205, 321]
[104, 598]
[29, 395]
[38, 677]
[84, 246]
[512, 628]
[20, 451]
[62, 589]
[69, 137]
[16, 487]
[277, 561]
[228, 601]
[36, 89]
[248, 718]
[62, 160]
[483, 503]
[185, 630]
[288, 755]
[129, 831]
[322, 869]
[164, 264]
[75, 777]
[116, 743]
[268, 888]
[22, 468]
[304, 439]
[18, 837]
[239, 753]
[28, 97]
[751, 925]
[68, 408]
[177, 933]
[56, 394]
[507, 806]
[311, 323]
[92, 139]
[32, 310]
[206, 764]
[658, 828]
[27, 74]
[465, 879]
[332, 469]
[140, 772]
[158, 538]
[89, 947]
[46, 376]
[357, 720]
[380, 739]
[34, 918]
[13, 911]
[140, 435]
[69, 623]
[475, 526]
[29, 434]
[588, 828]
[167, 184]
[409, 850]
[634, 952]
[452, 590]
[462, 858]
[13, 55]
[103, 229]
[408, 492]
[293, 406]
[3, 6]
[88, 294]
[506, 865]
[148, 382]
[641, 819]
[114, 807]
[348, 602]
[245, 930]
[60, 249]
[231, 304]
[725, 915]
[80, 637]
[326, 724]
[625, 818]
[377, 500]
[618, 958]
[58, 450]
[151, 242]
[236, 884]
[47, 316]
[134, 252]
[46, 579]
[305, 626]
[27, 104]
[50, 457]
[98, 299]
[82, 979]
[188, 237]
[14, 248]
[203, 471]
[561, 630]
[298, 447]
[10, 487]
[120, 239]
[279, 799]
[719, 784]
[390, 504]
[61, 701]
[268, 861]
[152, 745]
[339, 607]
[290, 481]
[417, 814]
[196, 280]
[105, 598]
[173, 416]
[82, 365]
[369, 684]
[7, 854]
[160, 577]
[279, 397]
[19, 178]
[317, 513]
[539, 816]
[344, 550]
[557, 868]
[26, 839]
[383, 697]
[351, 586]
[16, 536]
[597, 857]
[428, 646]
[421, 812]
[39, 81]
[462, 794]
[91, 418]
[125, 754]
[136, 445]
[4, 950]
[163, 344]
[201, 982]
[50, 285]
[4, 234]
[280, 1000]
[222, 890]
[62, 557]
[10, 548]
[66, 532]
[232, 691]
[712, 718]
[62, 706]
[488, 516]
[594, 697]
[75, 755]
[497, 843]
[474, 528]
[259, 466]
[19, 23]
[178, 205]
[538, 708]
[300, 512]
[213, 621]
[42, 470]
[304, 831]
[193, 604]
[733, 873]
[21, 738]
[391, 853]
[688, 790]
[65, 842]
[477, 769]
[308, 472]
[317, 942]
[540, 937]
[458, 515]
[665, 790]
[194, 925]
[59, 804]
[66, 449]
[56, 178]
[771, 892]
[227, 347]
[275, 682]
[464, 799]
[564, 853]
[765, 896]
[109, 625]
[192, 965]
[338, 605]
[338, 442]
[146, 258]
[207, 655]
[100, 147]
[137, 932]
[223, 587]
[277, 908]
[404, 833]
[634, 716]
[133, 487]
[258, 406]
[146, 604]
[522, 761]
[563, 750]
[144, 180]
[6, 300]
[140, 647]
[25, 945]
[241, 479]
[62, 577]
[271, 489]
[7, 130]
[596, 834]
[278, 462]
[14, 564]
[320, 807]
[210, 576]
[180, 386]
[382, 824]
[147, 397]
[48, 219]
[15, 394]
[15, 763]
[23, 218]
[951, 981]
[220, 755]
[173, 853]
[3, 298]
[62, 473]
[595, 829]
[243, 649]
[433, 827]
[272, 917]
[63, 234]
[607, 769]
[567, 875]
[453, 521]
[108, 350]
[201, 527]
[86, 136]
[170, 227]
[364, 530]
[221, 986]
[785, 811]
[466, 656]
[199, 955]
[362, 797]
[1, 269]
[456, 710]
[323, 427]
[360, 756]
[247, 372]
[77, 105]
[97, 352]
[26, 723]
[448, 602]
[134, 161]
[247, 971]
[23, 749]
[120, 345]
[79, 524]
[402, 859]
[166, 300]
[42, 191]
[182, 784]
[121, 936]
[96, 844]
[99, 623]
[232, 337]
[129, 597]
[425, 677]
[161, 1000]
[205, 398]
[190, 776]
[148, 435]
[6, 262]
[35, 40]
[174, 285]
[178, 920]
[133, 483]
[402, 633]
[717, 903]
[370, 415]
[312, 962]
[307, 935]
[114, 308]
[930, 977]
[113, 467]
[416, 499]
[244, 649]
[557, 619]
[106, 725]
[114, 404]
[164, 813]
[202, 746]
[53, 388]
[223, 533]
[169, 835]
[494, 786]
[284, 408]
[33, 387]
[498, 796]
[416, 584]
[27, 485]
[757, 852]
[87, 600]
[10, 138]
[243, 847]
[206, 944]
[4, 338]
[30, 882]
[863, 911]
[552, 963]
[530, 560]
[687, 793]
[227, 745]
[376, 650]
[179, 544]
[37, 285]
[188, 361]
[56, 476]
[507, 711]
[186, 373]
[14, 941]
[184, 387]
[152, 255]
[366, 461]
[376, 658]
[254, 833]
[448, 951]
[102, 135]
[49, 465]
[475, 631]
[41, 398]
[331, 606]
[109, 392]
[484, 704]
[105, 322]
[75, 647]
[225, 994]
[52, 141]
[167, 861]
[367, 429]
[409, 412]
[144, 363]
[30, 822]
[511, 617]
[414, 946]
[151, 483]
[237, 264]
[251, 253]
[71, 123]
[270, 862]
[234, 711]
[851, 939]
[463, 792]
[135, 753]
[375, 716]
[495, 624]
[226, 423]
[76, 966]
[230, 549]
[9, 412]
[132, 845]
[176, 390]
[264, 281]
[341, 948]
[315, 602]
[702, 977]
[148, 520]
[731, 747]
[322, 548]
[485, 939]
[295, 429]
[61, 357]
[150, 221]
[82, 233]
[197, 434]
[6, 430]
[68, 985]
[587, 667]
[244, 563]
[619, 905]
[366, 652]
[266, 761]
[166, 600]
[151, 503]
[454, 889]
[46, 420]
[411, 523]
[39, 148]
[473, 685]
[122, 293]
[410, 660]
[31, 315]
[48, 719]
[68, 244]
[490, 725]
[222, 983]
[42, 619]
[30, 845]
[261, 424]
[352, 399]
[841, 965]
[143, 215]
[366, 561]
[106, 557]
[184, 806]
[233, 600]
[567, 979]
[513, 568]
[329, 834]
[33, 748]
[82, 87]
[120, 161]
[290, 684]
[72, 509]
[586, 803]
[150, 224]
[376, 682]
[437, 630]
[404, 933]
[539, 811]
[258, 400]
[724, 957]
[110, 956]
[15, 468]
[197, 306]
[99, 567]
[118, 988]
[321, 909]
[85, 928]
[114, 893]
[32, 713]
[47, 886]
[307, 846]
[393, 819]
[168, 621]
[155, 654]
[241, 934]
[528, 535]
[4, 469]
[293, 395]
[156, 648]
[324, 584]
[263, 371]
[9, 340]
[199, 732]
[290, 599]
[141, 208]
[37, 54]
[79, 637]
[760, 856]
[556, 943]
[36, 959]
[513, 951]
[235, 345]
[511, 522]
[191, 414]
[45, 182]
[303, 691]
[297, 865]
[387, 675]
[62, 195]
[145, 929]
[195, 336]
[83, 98]
[194, 218]
[176, 372]
[168, 803]
[90, 292]
[23, 387]
[57, 309]
[21, 941]
[260, 483]
[118, 196]
[23, 982]
[127, 920]
[42, 157]
[27, 836]
[169, 899]
[737, 917]
[160, 360]
[553, 980]
[40, 331]
[361, 660]
[523, 699]
[163, 456]
[93, 903]
[112, 301]
[46, 558]
[108, 874]
[206, 993]
[890, 897]
[493, 616]
[11, 524]
[216, 643]
[306, 777]
[515, 871]
[441, 948]
[74, 673]
[64, 212]
[407, 971]
[70, 646]
[208, 655]
[171, 874]
[665, 691]
[564, 580]
[300, 599]
[225, 646]
[728, 893]
[546, 968]
[388, 747]
[326, 383]
[97, 176]
[198, 978]
[476, 740]
[157, 825]
[873, 972]
[110, 622]
[28, 204]
[108, 241]
[856, 929]
[8, 822]
[81, 926]
[265, 346]
[66, 72]
[263, 365]
[110, 489]
[66, 252]
[211, 828]
[271, 595]
[118, 995]
[333, 905]
[120, 951]
[191, 351]
[92, 591]
[14, 584]
[15, 680]
[71, 288]
[504, 924]
[377, 488]
[535, 726]
[737, 851]
[146, 366]
[539, 938]
[118, 373]
[176, 458]
[276, 782]
[142, 562]
[83, 603]
[73, 983]
[211, 970]
[15, 303]
[389, 690]
[348, 544]
[188, 421]
[296, 603]
[391, 849]
[249, 975]
[20, 321]
[294, 332]
[531, 947]
[143, 424]
[622, 752]
[72, 816]
[78, 394]
[33, 187]
[380, 500]
[343, 998]
[895, 913]
[590, 947]
[428, 884]
[140, 156]
[142, 314]
[489, 806]
[125, 748]
[114, 550]
[228, 794]
[11, 683]
[92, 725]
[496, 522]
[191, 412]
[75, 345]
[145, 961]
[340, 440]
[130, 530]
[491, 956]
[68, 747]
[150, 678]
[236, 430]
[801, 863]
[325, 327]
[22, 346]
[251, 343]
[171, 877]
[772, 838]
[78, 124]
[89, 223]
[189, 308]
[122, 648]
[43, 661]
[414, 474]
[554, 588]
[321, 352]
[21, 750]
[29, 378]
[14, 33]
[297, 889]
[696, 968]
[216, 317]
[492, 740]
[124, 131]
[292, 502]
[336, 360]
[79, 143]
[364, 827]
[487, 788]
[245, 961]
[37, 391]
[44, 378]
[116, 143]
[118, 374]
[112, 137]
[26, 960]
[1, 868]
[124, 286]
[81, 308]
[27, 617]
[441, 981]
[356, 788]
[187, 242]
[347, 693]
[434, 852]
[238, 545]
[573, 697]
[81, 905]
[9, 873]
[308, 764]
[154, 196]
[113, 442]
[5, 229]
[88, 507]
[76, 586]
[159, 421]
[36, 843]
[405, 621]
[538, 917]
[537, 709]
[55, 175]
[371, 700]
[144, 551]
[520, 955]
[129, 496]
[336, 359]
[531, 843]
[197, 234]
[217, 390]
[572, 788]
[62, 647]
[96, 141]
[135, 401]
[66, 405]
[79, 261]
[763, 903]
[426, 533]
[99, 582]
[543, 781]
[433, 876]
[432, 472]
[136, 676]
[34, 750]
[155, 789]
[281, 380]
[759, 890]
[346, 573]
[541, 865]
[59, 261]
[151, 409]
[48, 608]
[170, 989]
[40, 60]
[117, 211]
[68, 328]
[213, 245]
[117, 962]
[71, 81]
[250, 317]
[246, 627]
[206, 975]
[100, 959]
[89, 357]
[122, 567]
[774, 851]
[460, 709]
[234, 452]
[125, 200]
[562, 876]
[251, 463]
[97, 952]
[188, 880]
[34, 192]
[119, 860]
[297, 540]
[523, 760]
[727, 793]
[513, 744]
[173, 371]
[239, 757]
[33, 506]
[381, 542]
[109, 304]
[96, 977]
[235, 350]
[154, 215]
[44, 126]
[415, 925]
[103, 592]
[65, 987]
[34, 73]
[220, 274]
[84, 908]
[413, 611]
[116, 961]
[477, 824]
[99, 895]
[192, 418]
[83, 850]
[158, 708]
[277, 362]
[98, 181]
[229, 703]
[56, 949]
[215, 405]
[856, 912]
[224, 775]
[121, 721]
[68, 315]
[126, 766]
[49, 258]
[60, 139]
[559, 883]
[169, 644]
[20, 390]
[23, 830]
[900, 910]
[195, 820]
[236, 838]
[332, 770]
[196, 722]
[93, 312]
[570, 779]
[353, 744]
[116, 581]
[561, 807]
[470, 485]
[107, 242]
[163, 292]
[448, 920]
[73, 213]
[396, 901]
[159, 188]
[229, 292]
[29, 63]
[518, 566]
[285, 600]
[906, 988]
[284, 651]
[88, 675]
[867, 935]
[203, 340]
[510, 814]
[87, 604]
[152, 920]
[33, 275]
[531, 849]
[142, 796]
[169, 283]
[35, 312]
[259, 287]
[208, 407]
[599, 680]
[34, 270]
[575, 706]
[187, 316]
[76, 206]
[96, 575]
[12, 301]
[85, 159]
[486, 708]
[403, 722]
[30, 438]
[123, 375]
[179, 341]
[90, 393]
[42, 762]
[464, 615]
[537, 777]
[251, 268]
[65, 881]
[89, 111]
[327, 521]
[138, 528]
[593, 907]
[117, 419]
[584, 882]
[113, 474]
[2, 816]
[424, 536]
[3, 273]
[17, 75]
[556, 640]
[169, 353]
[105, 603]
[21, 501]
[352, 836]
[9, 88]
[36, 334]
[150, 170]
[184, 751]
[320, 945]
[24, 385]
[902, 949]
[93, 854]
[153, 553]
[265, 367]
[49, 964]
[274, 967]
[262, 336]
[100, 389]
[281, 379]
[148, 627]
[813, 906]
[301, 583]
[103, 598]
[508, 527]
[575, 577]
[150, 911]
[327, 354]
[53, 161]
[147, 632]
[328, 684]
[167, 900]
[349, 931]
[265, 356]
[370, 740]
[217, 858]
[624, 921]
[326, 662]
[1, 964]
[230, 588]
[642, 952]
[11, 85]
[233, 619]
[66, 918]
[67, 452]
[186, 463]
[77, 450]
[236, 753]
[7, 291]
[257, 357]
[74, 376]
[175, 548]
[186, 864]
[22, 490]
[65, 615]
[328, 456]
[403, 845]
[3, 262]
[47, 741]
[583, 694]
